subject,n_score,n_adapt,auroc_independent,balacc_independent,auroc_recenter,auroc_zscore
S10,49,12,0.4569377990430622,0.618421052631579,0.9952153110047847,1.0
S11,49,12,0.9712918660287081,0.9078947368421053,1.0,1.0
S13,49,12,0.9952153110047848,0.7727272727272727,1.0,1.0
S14,49,12,0.6578947368421052,0.6052631578947368,0.9425837320574162,0.9569377990430622
S15,49,12,0.9904306220095693,0.5,1.0,1.0
S16,48,12,0.8476658476658476,0.6142506142506143,1.0,1.0
S17,49,10,0.7559808612440191,0.5,0.9019138755980861,0.6746411483253588
S2,47,10,0.1616161616161616,0.5,0.9797979797979798,0.9444444444444444
S3,47,11,0.9671717171717171,0.5,1.0,1.0
S4,48,12,0.4668304668304668,0.5454545454545454,0.9336609336609337,0.9877149877149877
S5,49,12,0.9736842105263157,0.8696172248803828,1.0,1.0
S6,48,12,0.8574938574938575,0.8955773955773956,1.0,1.0
S7,49,12,0.9952153110047848,0.9210526315789473,0.9449760765550239,0.8755980861244019
S8,47,12,0.9270270270270271,0.9324324324324325,0.927027027027027,0.9027027027027028
S9,48,12,0.9236842105263159,0.5105263157894737,1.0,0.8447368421052631
